_id,keywords
{ "$oid" : "515edf9cdcd7f3713e000056" }," nigeria set panel studi amnesti islamist sourc nigerian presid goodluck jonathan thursday form panel possibl offer amnesti deal islamist insurg kill hundr presid sourc"
{ "$oid" : "515edf9cdcd7f3713e000057" }," dutchman arrest guinea bissau coup misinform dutch businessman arrest guinea bissau alleg circul fals potenti coup countri armi chief thursday"
{ "$oid" : "515edf9cdcd7f3713e000058" }," venezuela futur uncertain month chavez death month death venezuela larger life presid hugo chavez oil rich nation face uncertain polit econom futur find throe nasti elect campaign replac"
{ "$oid" : "515edf9cdcd7f3713e000059" }," korea move missil warn nuclear strike north korea move medium rang missil east coast south korea thursday unit state strengthen pacif missil defenc amid intensifi threat pyongyang"
{ "$oid" : "515edf9cdcd7f3713e00005a" }," pulitz win film critic ebert die 70 film legend martin scorses presid barack obama led tribut movi critic roger ebert cinema pundit win pulitz prize die thursday cancer age 70"
{ "$oid" : "515edf9cdcd7f3713e00005b" }," precaut north korea unit state precaut face escal threat north korea white hous thursday"
{ "$oid" : "515edf9cdcd7f3713e00005c" }," sleek rider outdo daredevil star stud ipl 6 open arden kolkata knight rider champion indian premier leagu season start defenc titl year pepsi indian premier leagu ipl6 wicket win delhi daredevil kolkata eden garden west bengal wednesday"
{ "$oid" : "515edf9cdcd7f3713e00005d" }," tusker gor face herculean task kenyan premier leagu champion tusker arriv alexandria egypt thursday awar monument task await saturday"
{ "$oid" : "515edf9ddcd7f3713e00005e" }," samsung open laptop tv assembl plant kenya korean electron giant samsung set open televis laptop printer assembl plant kenya year"
{ "$oid" : "515edf9ddcd7f3713e00005f" }," thika unit top semi final thika unit dump sofapaka kenyan premier leagu top quarter final wednesday even nyayo stadium set semi final chemelil sugar afc leopard"
{ "$oid" : "515edf9ddcd7f3713e000060" }," gor mahia sign improv sponsorship deal tuzo gor mahia shirt sponsor tuzo agre improv deal sign week"
{ "$oid" : "515edf9ddcd7f3713e000061" }," psychologist join star bench harambe star coach adel amrouch exclus reveal daili nation intend enlist servic psychologist month kenya host super eagl nigeria crucial 2014 cup return leg qualifi match"
{ "$oid" : "515edf9ddcd7f3713e000062" }," kenya reduc troop somalia kenya defenc forc pull 1 000 soldier peacekeep mission somalia battalion sierra leon boost number amisom troop"
{ "$oid" : "515edf9ddcd7f3713e000063" }," governor power fear allay realign provinci administr constitut perfect fit consid work progress attorney general told meet"
{ "$oid" : "515edf9ddcd7f3713e000064" }," counti top brass join pay rise push 47 governor meet naivasha thursday join rank newli elect public servant agit higher salari"
{ "$oid" : "515edf9ddcd7f3713e000065" }," audit talli system iebc told elector commiss review technolog audit entir talli procedur avoid repeat defici wit 2013 poll futur"
{ "$oid" : "515edf9ddcd7f3713e000066" }," uhuru woo small parti join jubile presid elect uhuru kenyatta craft seri post elect deal advanc govern legisl agenda protect impeach"
{ "$oid" : "515edf9ddcd7f3713e000067" }," ps set sh600m flood govern set sh600 deal effect ongo rain peopl die migori thursday"
{ "$oid" : "515edf9ddcd7f3713e000068" }," kra hit current legisl tax shocker taxman hit current mps fresh shocker demand shill paid lawmak tax"
{ "$oid" : "515edf9ddcd7f3713e000069" }," spaniard cocain charg die custodi spaniard charg traffick cocain worth sh41 die remand custodi month nairobi court heard thursday"
{ "$oid" : "515edf9ddcd7f3713e00006a" }," educ secretari power clip cabinet secretari educ power clip three tier structur manag school countri"
{ "$oid" : "515edf9ddcd7f3713e00006b" }," shackl doom play share natur wealth cleopha malala politician scriptwrit play adjudg polit incorrect"
{ "$oid" : "515edf9ddcd7f3713e00006c" }," fresh trial offici sh4 5bn land fraud case director public prosecut instruct start afresh trial senior offici help group accus forg document citi properti worth sh4 5 billion"
{ "$oid" : "515edf9ddcd7f3713e00006d" }," joint open session mps senat parliament set histor open april 16 week swear presid elect uhuru kenyatta deputi william ruto"
{ "$oid" : "515edf9ddcd7f3713e00006e" }," expert inch closer hiv vaccin scientist inch closer design univers hiv vaccin fight virus evolv form"
{ "$oid" : "515edf9ddcd7f3713e00006f" }," renew bid kabuga arrest renew effort arrest rwandan genocid suspect felicien kabuga lord resist armi leader joseph koni 11"
{ "$oid" : "515edf9ddcd7f3713e000070" }," governor parti differ push counti cash tuesday journalist sought counti chief reaction presid kibaki remark offici open confer machako governor alfr mutua forthright"
{ "$oid" : "515edf9ddcd7f3713e000071" }," coach join afc leopard mumia afc leopard coach luc eymael will link team offici player western kenya friday ahead offici unveil week"
{ "$oid" : "515edf9ddcd7f3713e000072" }," clergi silenc kisumu kill rais question polic brutal kill kisumu suprem court rule presidenti petit regrett serious setback search nation cohes"
{ "$oid" : "515edf9ddcd7f3713e000073" }," state offici kill devolut dream governor concern forward devolut legitim"
{ "$oid" : "515edf9ddcd7f3713e000074" }," cord eye control key hous team prime minist raila odinga vice presid kalonzo musyoka member jubile coalit allow minor coalit lead top power oversight committe parliament"
{ "$oid" : "515edf9ddcd7f3713e000075" }," polic rein crimin protest crime wave part citi alarm"
{ "$oid" : "515edf9ddcd7f3713e000076" }," leader protect children violenc abus februari 13 man kakamega counti report hack three children death hiv posit suffer"
{ "$oid" : "515edf9ddcd7f3713e000077" }," cut edg landmark suprem court rule presidenti elect governor frustrat unelect provinci administr offici petit decid call shot counti level wamahiu muya advis"
{ "$oid" : "515edf9ddcd7f3713e000078" }," govern tough choic incom administr daunt task ahead"
{ "$oid" : "515edf9ddcd7f3713e000079" }," act inclus help uhuru win support rival despit suprem court confirm uhuru kenyatta kenya fourth presid million grudg extend reconciliatori hand simpli decid care polit"
{ "$oid" : "515edf9ddcd7f3713e00007a" }," polic search soldier link mrc polic launch manhunt militari personnel suspect train member secessionist group"
{ "$oid" : "515edf9ddcd7f3713e00007b" }," left kenyan polit lost poll reason exist think result elect week"
{ "$oid" : "515edf9ddcd7f3713e00007c" }," aid campaign risk lobbi group health sector rais concern declin fund hiv aid note threaten erod gain combat diseas"
{ "$oid" : "515edf9ddcd7f3713e00007d" }," pay governor decid ballot newli elect governor senat mps counti assembl repres satisfi salari benefit liberti quit better pay job"
{ "$oid" : "515edf9ddcd7f3713e00007e" }," farmer kfa reviv stock fertilis farmer associ prime supplier subsidis fertilis reviv strengthen deal acquisit farm input"
{ "$oid" : "515edf9ddcd7f3713e00007f" }," good weather push tea output 60pc good weather februari led tea product 61 5 cent compar period year"
{ "$oid" : "515edf9ddcd7f3713e000080" }," kenya airway add flight kisumu rout kenya airway increas frequenc flight kisumu seek meet grow domest demand"
{ "$oid" : "515edf9ddcd7f3713e000081" }," depart evolv corpor network complex depart evolv manag equip manag servic"
{ "$oid" : "515edf9ddcd7f3713e000082" }," uhuru ruto order treasuri rewrit budget presid elect uhuru kenyatta deputi william ruto ask treasuri rework current budget ensur campaign promis march 4 general elect deliv"
{ "$oid" : "515edf9ddcd7f3713e000083" }," multichoic set stage review dstv content multichoic africa owner dstv studi dstv viewership pattern focus market segment set stage review program"
{ "$oid" : "515edf9ddcd7f3713e000084" }," tourism bodi seek sh500m recoveri kitti kenya tourism board ktb seek sh500 treasuri financ recoveri effort sector slump month amid elect jitter"
{ "$oid" : "515edf9ddcd7f3713e000085" }," compet treasuri key devolut cra cheserem governor lobbi appoint compet treasuri offici head revenu commiss"
{ "$oid" : "515edf9ddcd7f3713e000086" }," kenya back envoy amina trade group top posit kenya reaffirm candidatur top wto job final select applic posit underway geneva"
